dataset,display_dataset,model,seeds,learning_rate,optimizer_group_count,IC,IC_std,ICIR,ICIR_std,RankIC,RankIC_std,RankICIR,RankICIR_std,AR_without_cost,AR_std,IR_without_cost,IR_std
short_csi300,CSI300,crfr_rrca_uniform_lr,5,0.00002,1,0.0576740388009348,0.005655063350847132,0.38324986935373867,0.044030959755981994,0.0693503028537565,0.0038491673062618736,0.45264945855723465,0.03428684564851345,0.29730830359658017,0.0564256251284759,2.5220377837004935,0.4203155751592436
short_csi800_direct,CSI800,crfr_rrca_uniform_lr,5,0.00001,1,0.04766119121293336,0.0034845310750958964,0.395892560919323,0.04561348687802333,0.061987764479412136,0.0027598183581947636,0.4890231751350143,0.026603323375425245,0.2931137196296497,0.052997388181592026,2.250110957416596,0.40171248182332875
