dataset,display_dataset,model,seeds,learning_rate,optimizer_group_count,parameter_count,memory_parameter_count,IC,IC_std,ICIR,ICIR_std,RankIC,RankIC_std,RankICIR,RankICIR_std,AR_without_cost,AR_std,IR_without_cost,IR_std
short_csi300,CSI300,crfr_rrca_mechanism_memory,5,0.00002,1,846233,4,0.05840197754282741,0.005356250872350573,0.3895869797124235,0.04248709719071285,0.06865061849466961,0.0044840258534712815,0.44807700880858825,0.036118156646352206,0.3001967140884749,0.041422432590310095,2.5209314471216713,0.30645565818867154
short_csi800_direct,CSI800,crfr_rrca_mechanism_memory,5,0.00001,1,846233,4,0.04773213928100766,0.003506316177231707,0.3966970457910253,0.04586872372327563,0.06208727102066551,0.0027025240341422975,0.48992021820168413,0.0261096532723929,0.2923381549495825,0.056738478423086644,2.24881790883279,0.4211999648642353
