dataset,model,seed,status,learning_rate,optimizer_group_count,stop_epoch,IC,ICIR,RankIC,RankICIR,AR_without_cost,IR_without_cost,memory_market_continuation,memory_market_reversal,memory_residual_continuation,memory_residual_reversal
short_csi300,crfr_rrca_mechanism_memory,0,DONE,0.00002,1,16,0.06170066048264824,0.40943490933811844,0.07678347644690471,0.5050898811904464,0.2873424038062536,2.578680602237165,0.49678656458854675,0.4953675866127014,0.5035967826843262,0.4991377592086792
short_csi300,crfr_rrca_mechanism_memory,1,DONE,0.00002,1,17,0.050649705953567464,0.3146235489401615,0.06501924643906792,0.39645314887013416,0.28568128846708035,2.2770034623544273,0.500744640827179,0.501404881477356,0.5023253560066223,0.5013212561607361
short_csi300,crfr_rrca_mechanism_memory,2,DONE,0.00002,1,16,0.06609866420513608,0.4417300414963827,0.06868474754697368,0.4434084972945938,0.3813614342102249,3.081146741862051,0.49834632873535156,0.5031204223632812,0.4998880922794342,0.5013826489448547
short_csi300,crfr_rrca_mechanism_memory,3,DONE,0.00002,1,17,0.05478414885053069,0.3790525029745684,0.06871895437205582,0.46482028290647087,0.28247791411759965,2.441026963557235,0.5019916296005249,0.4967164993286133,0.4958656132221222,0.4979701638221741
short_csi300,crfr_rrca_mechanism_memory,4,DONE,0.00002,1,17,0.0587767082222546,0.40309389581288646,0.06404666766834594,0.43061323378129573,0.2641205298412161,2.2267994655974794,0.5031975507736206,0.5042496919631958,0.5054822564125061,0.5021578073501587
short_csi800_direct,crfr_rrca_mechanism_memory,0,DONE,0.00001,1,28,0.044542447099774465,0.338816818511077,0.062274659819986485,0.4546851784041573,0.28904056595461686,2.162710370399492,0.49965882301330566,0.4965896010398865,0.5052697062492371,0.4992784559726715
short_csi800_direct,crfr_rrca_mechanism_memory,1,DONE,0.00001,1,29,0.05041756850427128,0.44065160716992013,0.06252371353540817,0.5129862622506098,0.2531509664991187,1.871143555767895,0.5001870393753052,0.5041395425796509,0.5054619908332825,0.5038658976554871
short_csi800_direct,crfr_rrca_mechanism_memory,2,DONE,0.00001,1,29,0.05083496001412866,0.4438639384364569,0.05698731666722963,0.46343761116690635,0.3336608383961516,2.4792692513665524,0.4987129867076874,0.5009093284606934,0.4998944103717804,0.4991115629673004
short_csi800_direct,crfr_rrca_mechanism_memory,3,DONE,0.00001,1,29,0.042490662301496444,0.34500244230892585,0.0646894829254048,0.5189082625576673,0.2127895400298862,1.7924800275407553,0.5029032230377197,0.5033185482025146,0.49647969007492065,0.5004044771194458
short_csi800_direct,crfr_rrca_mechanism_memory,4,DONE,0.00001,1,28,0.05037505848536746,0.41515042252874673,0.06396118215529849,0.49958377662908005,0.3730488638681391,2.9384863390892573,0.503186047077179,0.5029808878898621,0.5051749348640442,0.5014119148254395
